Mod:Item:MetaData, Localized Name
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:cable:0, Медный провод
ic2:cable:0, Изолированный медный провод
ic2:cable:1, Стекловолоконный провод
ic2:cable:2, Золотой провод
ic2:cable:2, Изолированный золотой провод
ic2:cable:2, Золотой провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:upgrade:10, Remote Interface Upgrade
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
extrautils2:snowglobe:0, Magical Snow Globe
extrautils2:snowglobe:1, Magical Snow Globe
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
extrautils2:quarry, Quantum Quarry
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:minichest, Mini Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
extrautils2:simpledecorative:1, Block of Demon Metal
extrautils2:simpledecorative:2, Block of Evil Infused Iron
extrautils2:creativechest, Creative Chest
extrautils2:creativeenergy, Creative Energy Source
extrautils2:creativeharvest, Creative Harvest
extrautils2:trowel, Trowel
extrautils2:biomemarker, Biome Marker
extrautils2:terraformer:0, Terraformer
extrautils2:terraformer:1, Antenna
extrautils2:terraformer:2, Humidifier
extrautils2:terraformer:3, Dehumidifier
extrautils2:terraformer:4, Heater
extrautils2:terraformer:5, Cooler
extrautils2:terraformer:6, Dehostilifier
extrautils2:terraformer:7, Magic Absorbtion
extrautils2:terraformer:8, Magic Infuser
extrautils2:terraformer:9, Climograph Base Unit
extrautils2:trashchest, Trash Chest
extrautils2:opinium:0, Opinium Core (Pathetic)
extrautils2:opinium:1, Opinium Core (Mediocre)
extrautils2:opinium:2, Opinium Core (Passable)
extrautils2:opinium:3, Opinium Core (Decent)
extrautils2:opinium:4, Opinium Core (Good)
extrautils2:opinium:5, Opinium Core (Damn Good)
extrautils2:opinium:6, Opinium Core (Amazing)
extrautils2:opinium:7, Opinium Core (Inspiring)
extrautils2:opinium:8, Opinium Core (Perfected)
extrautils2:lawsword, Kikoku
extrautils2:flattransfernode:0, Flat Transfer Node (Items)
extrautils2:flattransfernode:1, Flat Transfer Node (Fluids)
extrautils2:analogcrafter, Analog Crafter
extrautils2:decorativebedrock:0, Bedrock Bricks
extrautils2:decorativebedrock:1, Bedrock Slabs
extrautils2:decorativebedrock:2, Bedrock Cobblestone
extrautils2:compoundbow, Compound Bow
extrautils2:fireaxe, Fire Axe
extrautils2:interactionproxy, Ender Porcupine
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:ironwood_leaves:0, Ferrous-Juniper Leaves
extrautils2:ironwood_leaves:1, Burnt Ferrous-Juniper Leaves
extrautils2:ironwood_log:0, Ferrous-Juniper Log
extrautils2:ironwood_log:1, Ferrous-Juniper Log
extrautils2:ironwood_sapling:0, Ferrous-Juniper Sapling
extrautils2:ironwood_sapling:1, Dead Ferrous-Juniper Sapling
extrautils2:ironwood_planks:0, Ferrous-Juniper Planks
extrautils2:ironwood_planks:1, Raw Ferrous-Juniper Planks
opencomputers:adapter:0, Адаптер
opencomputers:assembler:0, Сборщик
opencomputers:cable:11250603, Кабель
opencomputers:capacitor:0, Конденсатор энергии
opencomputers:case1:0, Системный блок (1-ый уровень)
opencomputers:case3:0, Системный блок (3-ий уровень)
opencomputers:case2:0, Системный блок (2-ой уровень)
opencomputers:chameliumblock:0, Блок хамелиума
opencomputers:charger:0, Зарядное устройство
opencomputers:disassembler:0, Разборщик
opencomputers:diskdrive:0, Дисковод
opencomputers:geolyzer:0, Геоанализатор
opencomputers:hologram1:0, Голографический проектор (1-ый уровень)
opencomputers:hologram2:0, Голографический проектор (2-ой уровень)
opencomputers:keyboard:0, Клавиатура
opencomputers:motionsensor:0, Датчик движения
opencomputers:powerconverter:0, Преобразователь энергии
opencomputers:powerdistributor:0, Распределитель энергии
opencomputers:printer:0, 3D принтер
opencomputers:raid:0, RAID
opencomputers:redstone:0, Красный контроллер
opencomputers:relay:0, Ретранслятор
opencomputers:screen1:0, Монитор (1-ый уровень)
opencomputers:screen3:0, Монитор (3-ий уровень)
opencomputers:screen2:0, Монитор (2-ой уровень)
opencomputers:rack:0, Серверная стойка
opencomputers:waypoint:0, Путевая точка
opencomputers:casecreative:0, Системный блок (Творческий)
opencomputers:microcontroller:0, Микроконтроллер
opencomputers:print:0, 3D модель
opencomputers:robotafterimage:0, Робот
opencomputers:robot:0, robot.name
opencomputers:endstone:0, Камень края
opencomputers:netsplitter:0, Сетевой переключатель
opencomputers:transposer:0, Транспозер
opencomputers:carpetedcapacitor:0, Carpeted Capacitor
opencomputers:material:1, Кислота
opencomputers:material:10, Арифметико-логическое устройство (АЛУ)
opencomputers:material:15, Клавиши со стрелками
opencomputers:material:14, Группа кнопок
opencomputers:material:5, Основа для карт
opencomputers:material:28, Хамелиум
opencomputers:material:3, Нетравленая печатная плата
opencomputers:material:11, Устройство управления (УУ)
opencomputers:material:0, Проволока
opencomputers:material:29, Алмазный обломок
opencomputers:material:12, Металлический диск
opencomputers:material:23, Корпус дрона (1-ый уровень)
opencomputers:material:24, Корпус дрона (2-ой уровень)
opencomputers:material:25, Корпус дрона (Креатив)
opencomputers:material:27, Картридж с чернилами
opencomputers:material:26, Картридж с чернилами (Пустой)
opencomputers:material:13, Интерпаутина
opencomputers:material:7, Микрочип (1-ый уровень)
opencomputers:material:8, Микрочип (2-ой уровень)
opencomputers:material:9, Микрочип (3-ий уровень)
opencomputers:material:20, Корпус микроконтроллера (1-ый уровень)
opencomputers:material:21, Корпус микроконтроллера (2-ой уровень)
opencomputers:material:22, Корпус микроконтроллера (Креатив)
opencomputers:material:16, Цифровой блок клавиш
opencomputers:material:4, Печатная плата
opencomputers:material:2, Основа для печатной платы
opencomputers:material:17, Корпус планшета (1-ый уровень)
opencomputers:material:18, Корпус планшета (2-ой уровень)
opencomputers:material:19, Корпус планшета (Креатив)
opencomputers:material:6, Транзистор
opencomputers:tool:0, Анализатор
opencomputers:tool:1, Сетевой отладчик
opencomputers:tool:4, Руководство OpenComputers
opencomputers:tool:5, Нанороботы
opencomputers:tool:2, Беспроводной терминал
opencomputers:tool:3, Определитель текстур
opencomputers:wrench, Ключ
opencomputers:hoverboots, Парящие ботинки
opencomputers:component:16, Процессор с видеокартой (APU) (1-ый уровень)
opencomputers:component:17, Процессор с видеокартой (APU) (2-ой уровень)
opencomputers:component:18, Процессор с видеокартой (APU) (Творческий)
opencomputers:component:3, Компонентная шина (1-ый уровень)
opencomputers:component:4, Компонентная шина (2-ой уровень)
opencomputers:component:5, Компонентная шина (3-ий уровень)
opencomputers:component:0, Центральный процессор (ЦП) (1-ый уровень)
opencomputers:component:1, Центральный процессор (ЦП) (2-ой уровень)
opencomputers:component:2, Центральный процессор (ЦП) (3-ий уровень)
opencomputers:component:20, Дисковод (для серверной стойки)
opencomputers:component:6, Память (1-ый уровень)
opencomputers:component:7, Память (Уровень 1.5)
opencomputers:component:8, Память (2-ой уровень)
opencomputers:component:9, Память (Уровень 2.5)
opencomputers:component:10, Память (3-ий уровень)
opencomputers:component:11, Память (Уровень 3.5)
opencomputers:component:13, Сервер (1-ый уровень)
opencomputers:component:14, Сервер (2-ой уровень)
opencomputers:component:15, Сервер (3-ий уровень)
opencomputers:component:12, Сервер (Творческий)
opencomputers:component:19, Терминальный сервер
opencomputers:card:10, Карта данных (1-ый уровень)
opencomputers:card:11, Карта данных (2-ой уровень)
opencomputers:card:12, Карта данных (3-ий уровень)
opencomputers:card:0, Отладочная карта
opencomputers:card:1, Видеокарта (1-ый уровень)
opencomputers:card:2, Видеокарта (2-ой уровень)
opencomputers:card:3, Видеокарта (3-ий уровень)
opencomputers:card:8, Интернет карта
opencomputers:card:9, Соединённая карта
opencomputers:card:6, Сетевая карта
opencomputers:card:4, Плата на красном камне (1-ый уровень)
opencomputers:card:7, Плата беспроводной сети (2-ой уровень)
opencomputers:upgrade:32, Component Bus (Creative)
opencomputers:upgrade:0, "Ангельское" улучшение
opencomputers:upgrade:1, Улучшение "Ёмкость" (1-ый уровень)
opencomputers:upgrade:2, Улучшение "Ёмкость" (2-ой уровень)
opencomputers:upgrade:3, Улучшение "Ёмкость" (3-ий уровень)
opencomputers:upgrade:4, Улучшение "Загрузчик чанков"
opencomputers:upgrade:5, Контейнер для карты (1-ый уровень)
opencomputers:upgrade:6, Контейнер для карты (2-ой уровень)
opencomputers:upgrade:7, Контейнер для карты (3-ий уровень)
opencomputers:upgrade:8, Контейнер для улучшения (1-ый уровень)
opencomputers:upgrade:9, Контейнер для улучшения (2-ой уровень)
opencomputers:upgrade:10, Контейнер для улучшения (3-ий уровень)
opencomputers:upgrade:11, Улучшение "Верстак"
opencomputers:upgrade:12, Улучшение "База данных" (1-ый уровень)
opencomputers:upgrade:13, Улучшение "База данных" (2-ой уровень)
opencomputers:upgrade:14, Улучшение "База данных" (3-ий уровень)
opencomputers:upgrade:15, Улучшение "Опыт"
opencomputers:upgrade:16, Улучшение "Генератор"
opencomputers:upgrade:27, Улучшение "Парение" (1-ый уровень)
opencomputers:upgrade:28, Улучшение "Парение" (2-ый уровень)
opencomputers:upgrade:17, Улучшение "Инвентарь"
opencomputers:upgrade:18, Улучшение "Контроллер инвентаря"
opencomputers:upgrade:26, Улучшение "Поводок"
opencomputers:upgrade:30, МФУ
opencomputers:upgrade:19, Улучшение "Навигация"
opencomputers:upgrade:20, Улучшение "Поршень"
opencomputers:upgrade:21, Улучшение "Контроллер табличек"
opencomputers:upgrade:22, Улучшение "Солнечный генератор"
opencomputers:upgrade:23, Улучшение "Бак для жидкостей"
opencomputers:upgrade:24, Улучшение "Контроллер бака"
opencomputers:upgrade:25, Улучшение "Притягивающий луч"
opencomputers:upgrade:29, Улучшение "Торговля"
opencomputers:upgrade:31, Плата беспроводной сети (1-ый уровень)
opencomputers:storage:0, EEPROM
opencomputers:storage:1, Дискета
opencomputers:storage:2, Жёсткий диск (1-ый уровень) (1MB)
opencomputers:storage:3, Жёсткий диск (2-ой уровень) (2MB)
opencomputers:storage:4, Жёсткий диск (3-ий уровень) (4MB)
opencomputers:misc:1, Crecopter
opencomputers:misc:0, Микроконтроллер
opencomputers:misc:0, Creatix
opencomputers:misc:0, Планшет
opencomputers:misc:0, Парящие ботинки
opencomputers:misc:0, EEPROM (Lua BIOS)
railcraft:creosote, Креозотовое масло
railcraft:steam, Пар
railcraft:tool_crowbar_iron, Железная монтировка
railcraft:tool_crowbar_steel, Стальная монтировка
railcraft:tool_axe_steel, Стальной топор
railcraft:tool_hoe_steel, Стальная мотыга
railcraft:tool_pickaxe_steel, Стальная кирка
railcraft:tool_shears_steel, Стальные ножницы
railcraft:tool_shovel_steel, Стальная лопата
railcraft:tool_sword_steel, Стальной меч
railcraft:armor_helmet_steel, Стальной шлем
railcraft:armor_chestplate_steel, Стальная кираса
railcraft:armor_leggings_steel, Стальные поножи
railcraft:armor_boots_steel, Стальные ботинки
railcraft:tool_magnifying_glass, Лупа
railcraft:armor_goggles, Очки обходчика путей
railcraft:armor_overalls, Комбинезон инженера
railcraft:tool_notepad, Блокнот обходчика путей
railcraft:rail:0, Стандартный рельс
railcraft:rail:1, Продвинутый рельс
railcraft:rail:2, Деревянный рельс
railcraft:rail:3, Высокоскоростной рельс
railcraft:rail:4, Укреплённый рельс
railcraft:rail:5, Электрический рельс
railcraft:tie:0, Деревянная шпала
railcraft:tie:1, Каменная шпала
railcraft:rebar, Арматура
railcraft:cart_spawner:0, Вагонетка со спавнером
railcraft:detector:0, Детектор - Инвентарь
railcraft:detector:1, Детектор - Любая вагонетка
railcraft:detector:2, Детектор - Пустая вагонетка
railcraft:detector:3, Детектор - Моб
railcraft:detector:4, Детектор - Игрок
railcraft:detector:5, Детектор - Животное
railcraft:detector:6, Детектор - Цистерна
railcraft:detector:7, Детектор - Продвинутый
railcraft:detector:8, Детектор - Взрослый
railcraft:detector:9, Детектор - Поезд
railcraft:detector:10, Детектор - Овца
railcraft:detector:11, Детектор - Деревенский житель
railcraft:detector:12, Детектор - Локомотив
railcraft:detector:13, Детектор - Маршрутизация
railcraft:manipulator:0, Загрузчик предметов
railcraft:manipulator:1, Разгрузчик предметов
railcraft:manipulator:2, Продвинутый загрузчик предметов
railcraft:manipulator:3, Продвинутый разгрузчик предметов
railcraft:manipulator:4, Заливщик жидкостей
railcraft:manipulator:5, Сливщик жидкостей
railcraft:manipulator:6, Зарядное устройство
railcraft:manipulator:7, Энергосьемщик
railcraft:manipulator:10, RF-зарядное устройство
railcraft:manipulator:11, RF Энергосьемщик
railcraft:manipulator:8, Размещатель вагонеток
railcraft:manipulator:9, Размещатель поездов
railcraft:equipment:0, Ручной прокатный стан
railcraft:equipment:1, Прокатный стан
